id,locale,alias,type,entity_id
8215,de,Afghanistan,German Name,1973
8216,es,Afganistán;República Islámica de Afganistán,Spanish Name,1973
8217,fr,l'Afghanistan,French Name,1973
8218,en,AF,iso-3166-2,1973
8219,en,AFG,iso-3166-3,1973
8220,de,Albanien,German Name,1974
8221,es,República de Albania;Albania,Spanish Name,1974
8222,fr,l'Albanie;la République d'Albanie,French Name,1974
8223,en,AL,iso-3166-2,1974
8224,en,ALB,iso-3166-3,1974
8225,de,Algerien,German Name,1975
8226,es,República Argelina Democrática y Popular;Argelia,Spanish Name,1975
8227,fr,Algérie,French Name,1975
8228,en,DZ,iso-3166-2,1975
8229,en,DZA,iso-3166-3,1975
8230,de,Amerikanisch-Samoa,German Name,1976
8231,es,Samoa Americana,Spanish Name,1976
8232,fr,Samoa américaines,French Name,1976
8233,en,AS,iso-3166-2,1976
8234,en,ASM,iso-3166-3,1976
8235,de,Andorra,German Name,1977
8236,es,Principado de Andorra;Andorra,Spanish Name,1977
8237,fr,l'Andorre;la principauté d'Andorre,French Name,1977
8238,en,AD,iso-3166-2,1977
8239,en,AND,iso-3166-3,1977
8240,de,Angola,German Name,1978
8241,es,República de Angola;Angola,Spanish Name,1978
8242,fr,Angola,French Name,1978
8243,en,AO,iso-3166-2,1978
8244,en,AGO,iso-3166-3,1978
8245,de,Anguilla,German Name,1979
8246,es,Anguila,Spanish Name,1979
8247,fr,Anguilla,French Name,1979
8248,en,AI,iso-3166-2,1979
8249,en,AIA,iso-3166-3,1979
8250,de,Antarktis,German Name,1980
8251,es,Antártida,Spanish Name,1980
8252,fr,Antarctique,French Name,1980
8253,en,AQ,iso-3166-2,1980
8254,en,ATA,iso-3166-3,1980
8255,de,Antigua und Barbuda,German Name,1981
8256,es,Antigua y Barbuda,Spanish Name,1981
8257,fr,Antigua-et-Barbuda,French Name,1981
8258,en,AG,iso-3166-2,1981
8259,en,ATG,iso-3166-3,1981
8260,de,Argentinien,German Name,1982
8261,es,República Argentina;Argentina,Spanish Name,1982
8262,fr,l'Argentine;la République argentine,French Name,1982
8263,en,AR,iso-3166-2,1982
8264,en,ARG,iso-3166-3,1982
8265,de,Armenien,German Name,1983
8266,es,República de Armenia;Armenia,Spanish Name,1983
8267,fr,l'Arménie;la République d'Arménie,French Name,1983
8268,en,AM,iso-3166-2,1983
8269,en,ARM,iso-3166-3,1983
8270,de,Aruba,German Name,1984
8271,es,Aruba,Spanish Name,1984
8272,fr,Aruba,French Name,1984
8273,en,AW,iso-3166-2,1984
8274,en,ABW,iso-3166-3,1984
8275,de,Australien,German Name,1985
8276,es,Mancomunidad de Australia;Australia,Spanish Name,1985
8277,fr,l'Australie;le Commonwealth d'Australie,French Name,1985
8278,en,AU,iso-3166-2,1985
8279,en,AUS,iso-3166-3,1985
8280,de,Österreich,German Name,1986
8281,es,República de Austria;Austria,Spanish Name,1986
8282,fr,l'Autriche;la République d'Autriche,French Name,1986
8283,en,AT,iso-3166-2,1986
8284,en,AUT,iso-3166-3,1986
8285,de,Aserbaidschan,German Name,1987
8286,es,República de Azerbaiyán;Azerbaiyán,Spanish Name,1987
8287,fr,l'Azerbaïdjan;la République d'Azerbaïdjan,French Name,1987
8288,en,AZ,iso-3166-2,1987
8289,en,AZE,iso-3166-3,1987
8290,de,Bahamas,German Name,1988
8291,es,Mancomunidad de las Bahamas;Bahamas,Spanish Name,1988
8292,fr,Bahamas,French Name,1988
8293,en,BS,iso-3166-2,1988
8294,en,BHS,iso-3166-3,1988
8295,de,Bahrain;Bahrein,German Name,1989
8296,es,Bahrein,Spanish Name,1989
8297,fr,Bahreïn;le Royaume de Bahreïn,French Name,1989
8298,en,BH,iso-3166-2,1989
8299,en,BHR,iso-3166-3,1989
8300,de,Bangladesch,German Name,1990
8301,es,Bangladesh,Spanish Name,1990
8302,fr,le Bangladesh;la République populaire du Banglades,French Name,1990
8303,en,BD,iso-3166-2,1990
8304,en,BGD,iso-3166-3,1990
8305,de,Barbados,German Name,1991
8306,es,Barbados,Spanish Name,1991
8307,fr,La Barbade,French Name,1991
8308,en,BB,iso-3166-2,1991
8309,en,BRB,iso-3166-3,1991
8310,de,Weißrußland,German Name,1992
8311,es,Belarús,Spanish Name,1992
8312,fr,Bélarus,French Name,1992
8313,en,BY,iso-3166-2,1992
8314,en,BLR,iso-3166-3,1992
8315,de,Belgien,German Name,1993
8316,es,Reino de Bélgica;Bélgica,Spanish Name,1993
8317,fr,la Belgique;le Royaume de Belgique,French Name,1993
8318,en,BE,iso-3166-2,1993
8319,en,BEL,iso-3166-3,1993
8320,de,Belize,German Name,1994
8321,es,Belice,Spanish Name,1994
8322,fr,le Belize,French Name,1994
8323,en,BZ,iso-3166-2,1994
8324,en,BLZ,iso-3166-3,1994
8325,de,Benin,German Name,1995
8326,es,República de Benín;Benín,Spanish Name,1995
8327,fr,Bénin,French Name,1995
8328,en,BJ,iso-3166-2,1995
8329,en,BEN,iso-3166-3,1995
8330,de,Bermuda,German Name,1996
8331,es,islas Bermudas,Spanish Name,1996
8332,fr,Bermudes,French Name,1996
8333,en,BM,iso-3166-2,1996
8334,en,BMU,iso-3166-3,1996
8335,de,Bhutan,German Name,1997
8336,es,Reino de Bután;Bután,Spanish Name,1997
8337,fr,le Bhoutan,French Name,1997
8338,en,BT,iso-3166-2,1997
8339,en,BTN,iso-3166-3,1997
8340,de,Bolivien,German Name,1998
