"id","entity_id","name","category","description","latitude","longitude","priority"
2249,278,"Mississippi","US States",,32.354668,-89.398528,999
1973,1,"Afghanistan","Countries",,33.93911,67.709953,
1974,2,"Albania","Countries",,41.153332,20.168331,
1975,3,"Algeria","Countries",,28.033886,1.659626,
1976,4,"American Samoa","Countries",,-14.270972,-170.132217,
1977,5,"Andorra","Countries",,42.506285,1.521801,
1978,6,"Angola","Countries",,,,
1979,7,"Anguilla","Countries",,,,
1980,8,"Antarctica","Countries",,-82.862752,135,
1981,9,"Antigua and Barbuda","Countries",,17.060816,-61.796428,
1982,10,"Argentina","Countries",,,,
1983,11,"Armenia","Countries",,,,
1984,12,"Aruba","Countries",,12.52111,-69.968338,
1985,13,"Australia","Countries",,,,
1986,14,"Austria","Countries",,,,
1987,15,"Azerbaijan","Countries",,40.143105,47.576927,
1988,16,"Bahamas","Countries",,25.03428,-77.39628,
1989,17,"Bahrain","Countries",,26.0667,50.5577,
1990,18,"Bangladesh","Countries",,,,
1991,19,"Barbados","Countries",,13.193887,-59.543198,
1992,20,"Belarus","Countries",,,,
1993,21,"Belgium","Countries",,50.503887,4.469936,
1994,22,"Belize","Countries",,,,
1995,23,"Benin","Countries",,9.30769,2.315834,
1996,24,"Bermuda","Countries",,,,
1997,25,"Bhutan","Countries",,27.514162,90.433601,
1998,26,"Bolivia","Countries",,,,
1999,27,"Bonaire","Countries",,,,
2000,28,"Bosnia and Herzegovina","Countries",,,,
2001,29,"Botswana","Countries",,,,
2002,30,"Bouvet Island","Countries",,,,
2003,31,"Brazil","Countries",,,,
2004,32,"British Indian Ocean Territory","Countries",,-6.343194,71.876519,
2005,33,"British Virgin Islands","Countries",,18.420695,-64.639968,
2006,34,"Brunei Darussalam","Countries",,4.535277,114.727669,
2007,35,"Bulgaria","Countries",,,,
2008,36,"Burkina Faso","Countries",,,,
2009,37,"Burundi","Countries",,,,
2010,38,"Cambodia","Countries",,12.565679,104.990963,
2011,39,"Cameroon","Countries",,7.369722,12.354722,
2012,40,"Canada","Countries",,56.130366,-106.346771,
2013,41,"Cape Verde","Countries",,16.5388,-23.0418,
2014,42,"Cayman Islands","Countries",,19.3133,-81.2546,
2015,43,"Central African Republic","Countries",,6.611111,20.939444,
2016,44,"Chad","Countries",,,,
2017,45,"Chile","Countries",,-35.675147,-71.542969,
2018,46,"China","Countries",,35.86166,104.195397,
2019,47,"Christmas Island","Countries",,-10.447525,105.690449,
2020,48,"Cocos Islands","Countries",,,,
2021,49,"Colombia","Countries",,,,
2022,50,"Comoros","Countries",,-11.6455,43.3333,
2023,51,"Congo","Countries",,-4.038333,21.758664,
2024,52,"Cook Islands","Countries",,,,
2025,53,"Costa Rica","Countries",,9.748917,-83.753428,
2026,54,"Croatia","Countries",,45.1,15.2,
2027,55,"Cuba","Countries",,,,
2028,56,"Curaçao","Countries",,12.16957,-68.99002,
2029,57,"Cyprus","Countries",,,,
2030,58,"Czech Republic","Countries",,49.817492,15.472962,
2031,59,"Côte d'Ivoire","Countries",,7.539989,-5.54708,
2032,60,"Democratic Republic of the Congo","Countries",,-4.038333,21.758664,
2033,61,"Denmark","Countries",,56.26392,9.501785,
2034,62,"Djibouti","Countries",,11.825138,42.590275,
2035,63,"Dominica","Countries",,15.414999,-61.370976,
2036,64,"Dominican Republic","Countries",,18.735693,-70.162651,
2037,65,"Ecuador","Countries",,-1.831239,-78.183406,
2038,66,"Egypt","Countries",,26.820553,30.802498,
2039,67,"El Salvador","Countries",,13.794185,-88.89653,
2040,68,"Equatorial Guinea","Countries",,1.650801,10.267895,
2041,69,"Eritrea","Countries",,15.179384,39.782334,
2042,70,"Estonia","Countries",,58.595272,25.013607,
2043,71,"Ethiopia","Countries",,9.145,40.489673,
2044,72,"Falkland Islands","Countries",,-51.796253,-59.523613,
2045,73,"Faroe Islands","Countries",,61.892635,-6.911806,
2046,74,"Federated States of Micronesia","Countries",,7.425554,150.550812,
2047,75,"Fiji","Countries",,-17.713371,178.065032,
2048,76,"Finland","Countries",,,,
2049,77,"France","Countries",,46.227638,2.213749,
2050,78,"French Guiana","Countries",,3.933889,-53.125782,
2051,79,"French Polynesia","Countries",,-17.679742,-149.406843,
2052,80,"French Southern Territories","Countries",,-49.280366,69.348557,
2053,81,"Gabon","Countries",,,,
2054,82,"Gambia","Countries",,13.443182,-15.310139,
2055,83,"Georgia","Countries",,32.165622,-82.900075,
2056,84,"Germany","Countries",,51.165691,10.451526,
2057,85,"Ghana","Countries",,7.946527,-1.023194,
2058,86,"Gibraltar","Countries",,36.140751,-5.353585,
2059,87,"Greece","Countries",,39.074208,21.824312,
2060,88,"Greenland","Countries",,71.706936,-42.604303,
2061,89,"Grenada","Countries",,,,
2062,90,"Guadeloupe","Countries",,16.265,-61.551,
2063,91,"Guam","Countries",,,,
2064,92,"Guatemala","Countries",,15.783471,-90.230759,
2065,93,"Guernsey","Countries",,49.465691,-2.585278,
2066,94,"Guinea","Countries",,9.945587,-9.696645,
2067,95,"Guinea-Bissau","Countries",,11.803749,-15.180413,
2068,96,"Guyana","Countries",,4.860416,-58.93018,
2069,97,"Haiti","Countries",,,,
2070,98,"Heard Island and McDonald Islands","Countries",,-53.08181,73.504158,
2071,99,"Holy See","Countries",,38.92465,-77.065683,
2072,100,"Honduras","Countries",,15.199999,-86.241905,
2073,101,"Hong Kong","Countries",,22.396428,114.109497,
2074,102,"Hungary","Countries",,47.162494,19.503304,
2075,103,"Iceland","Countries",,,,
2076,104,"India","Countries",,20.593684,78.96288,
2077,105,"Indonesia","Countries",,,,
2078,106,"Iran","Countries",,32.427908,53.688046,
2079,107,"Iraq","Countries",,,,
2080,108,"Ireland","Countries",,53.142367,-7.692054,
2081,109,"Isle of Man","Countries",,54.236107,-4.548056,
2082,110,"Israel","Countries",,31.046051,34.851612,
2083,111,"Italy","Countries",,41.87194,12.56738,
2084,112,"Jamaica","Countries",,18.109581,-77.297508,
2085,113,"Jan Mayen","Countries",,71.031818,-8.292035,
2086,114,"Japan","Countries",,36.204824,138.252924,
2087,115,"Jersey","Countries",,49.214439,-2.13125,
2088,116,"Jordan","Countries",,30.585164,36.238414,
2089,117,"Kazakhstan","Countries",,48.019573,66.923684,
2090,118,"Kenya","Countries",,,,
2091,119,"Kiribati","Countries",,-3.370417,-168.734039,
2092,120,"Kuwait","Countries",,29.31166,47.481766,
2093,121,"Kyrgyzstan","Countries",,41.20438,74.766098,
2094,122,"Laos","Countries",,19.85627,102.495496,
2095,123,"Latvia","Countries",,56.879635,24.603189,
2096,124,"Lebanon","Countries",,,,
2097,125,"Lesotho","Countries",,-29.609988,28.233608,
2098,126,"Liberia","Countries",,6.428055,-9.429499,
2099,127,"Libya","Countries",,26.3351,17.228331,
2100,128,"Liechtenstein","Countries",,,,
2101,129,"Lithuania","Countries",,55.169438,23.881275,
2102,130,"Luxembourg","Countries",,49.815273,6.129583,
2103,131,"Macao","Countries",,22.198745,113.543873,
2104,132,"Macedonia","Countries",,,,
2105,133,"Madagascar","Countries",,,,
2106,134,"Malawi","Countries",,-13.254308,34.301525,
2107,135,"Malaysia","Countries",,4.210484,101.975766,
2108,136,"Maldives","Countries",,,,
2109,137,"Mali","Countries",,,,
2110,138,"Malta","Countries",,35.937496,14.375416,
2111,139,"Marshall Islands","Countries",,7.131474,171.184478,
2112,140,"Martinique","Countries",,14.641528,-61.024174,
2113,141,"Mauritania","Countries",,21.00789,-10.940835,
2114,142,"Mauritius","Countries",,-20.348404,57.552152,
2115,143,"Mayotte","Countries",,-12.8275,45.166244,
2116,144,"Mexico","Countries",,,,
2117,145,"Moldova","Countries",,47.411631,28.369885,
2118,146,"Monaco","Countries",,43.738418,7.424616,
2119,147,"Mongolia","Countries",,46.862496,103.846656,
2120,148,"Montenegro","Countries",,42.708678,19.37439,
2121,149,"Montserrat","Countries",,16.742498,-62.187366,
2122,150,"Morocco","Countries",,31.791702,-7.09262,
2123,151,"Mozambique","Countries",,,,
2124,152,"Myanmar","Countries",,,,
2125,153,"Namibia","Countries",,-22.95764,18.49041,
2126,154,"Nauru","Countries",,,,
2127,155,"Nepal","Countries",,28.394857,84.124008,
2128,156,"Netherlands","Countries",,52.132633,5.291266,
2129,157,"New Caledonia","Countries",,-20.904305,165.618042,
2130,158,"New Zealand","Countries",,,,
2131,159,"Nicaragua","Countries",,12.865416,-85.207229,
2132,160,"Niger","Countries",,17.607789,8.081666,
2133,161,"Nigeria","Countries",,,,
2134,162,"Niue","Countries",,,,
2135,163,"Norfolk Island","Countries",,-29.040835,167.954712,
2136,164,"North Korea","Countries",,40.339852,127.510093,
2137,165,"Northern Mariana Islands","Countries",,,,
2138,166,"Norway","Countries",,60.472024,8.468946,
2139,167,"Oman","Countries",,,,
2140,168,"Pakistan","Countries",,,,
2141,169,"Palau","Countries",,,,
2142,170,"Palestine","Countries",,,,
2143,171,"Panama","Countries",,,,
2144,172,"Papua New Guinea","Countries",,,,
2145,173,"Paraguay","Countries",,-23.442503,-58.443832,
2146,174,"Peru","Countries",,-9.189967,-75.015152,
2147,175,"Philippines","Countries",,,,
2148,176,"Pitcairn","Countries",,,,
2149,177,"Poland","Countries",,,,
2150,178,"Portugal","Countries",,,,
2151,179,"Puerto Rico","Countries",,18.220833,-66.590149,
2152,180,"Qatar","Countries",,25.354826,51.183884,
2153,181,"Romania","Countries",,45.943161,24.96676,
2154,182,"Russian Federation","Countries",,,,
2155,183,"Rwanda","Countries",,-1.940278,29.873888,
2156,184,"Réunion","Countries",,,,
2157,185,"Saba","Countries",,17.635464,-63.232676,
2158,186,"Saint Barthélemy","Countries",,17.9,-62.833333,
2159,187,"Saint Helena, Ascension and Tristan da Cunha","Countries",,-24.143481,-10.030694,
2160,188,"Saint Kitts and Nevis","Countries",,17.357822,-62.782998,
2161,189,"Saint Lucia","Countries",,,,
2162,190,"Saint Martin","Countries",,,,
2163,191,"Saint Pierre and Miquelon","Countries",,,,
2164,192,"Saint Vincent and the Grenadines","Countries",,12.984305,-61.287228,
2165,193,"Samoa","Countries",,-13.759029,-172.104629,
2166,194,"San Marino","Countries",,43.94236,12.457777,
2167,195,"Sao Tome and Principe","Countries",,,,
2168,196,"Saudi Arabia","Countries",,,,
2169,197,"Senegal","Countries",,14.497401,-14.452362,
2170,198,"Serbia","Countries",,44.016521,21.005859,
2171,199,"Seychelles","Countries",,-4.679574,55.491977,
2172,200,"Sierra Leone","Countries",,8.460555,-11.779889,
2173,201,"Singapore","Countries",,1.352083,103.819836,
2174,202,"Sint Eustatius","Countries",,,,
2175,203,"Sint Maarten","Countries",,18.04248,-63.05483,
2176,204,"Slovakia","Countries",,48.669026,19.699024,
2177,205,"Slovenia","Countries",,,,
2178,206,"Solomon Islands","Countries",,-9.64571,160.156194,
2179,207,"Somalia","Countries",,,,
2180,208,"South Africa","Countries",,-30.559482,22.937506,
2181,209,"South Georgia and the South Sandwich Islands","Countries",,,,
2182,210,"South Korea","Countries",,,,
2183,211,"South Sudan","Countries",,6.876992,31.306979,
2184,212,"Spain","Countries",,40.463667,-3.74922,
2185,213,"Sri Lanka","Countries",,7.873054,80.771797,
2186,214,"Sudan","Countries",,,,
2187,215,"Suriname","Countries",,3.919305,-56.027783,
2188,216,"Svalbard","Countries",,,,
2189,217,"Swaziland","Countries",,,,
2190,218,"Sweden","Countries",,60.128161,18.643501,
