Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Indian Court,132,Supreme Court,New Delhi,Court of Last Resort,Supreme  Of India,INSC
en-US,Indian Court,,High Court,Allahabad | Lucknow,,High Court of Judicature at Allahabad,AHC
en-US,Indian Court,,High Court,Amaravati,,High Court of Andhra Pradesh,APHC
en-US,Indian Court,,High Court,Bombay | Nagpur | Aurangabad,,High Court of Bombay,BHC
en-US,Indian Court,,High Court,Calcutta | Port Blair | Jalpaiguri,,Calcutta High Court,
en-US,Indian Court,,High Court,Bilaspur,,High Court of Chhattisgarh,
en-US,Indian Court,,High Court,New Delhi,,High Court of Delhi,DHC
en-US,Indian Court,,High Court,Assam | Kohima | Aizawal | Itanagar,,Gauhati High Court,GAHC
en-US,Indian Court,,High Court,Ahmedabad,,High Court of Gujarat,
en-US,Indian Court,,High Court,Shimla,,High Court of Himachal Pradesh,
en-US,Indian Court,,High Court,Srinagar | Jammu,,High Court of Jammu & Kashmir and Ladakh,
en-US,Indian Court,,High Court,Ranchi,,High Court of Jharkhand,
en-US,Indian Court,,High Court,Bengaluru | Dharwad | Kalaburagi,,High Court of Karnataka,
en-US,Indian Court,,High Court,Ernakulam,,High Court of Kerala,KER
en-US,Indian Court,,High Court,Jabalpur | Gwalior | Indore,,Madhya Pradesh High Court,MPHC
en-US,Indian Court,,High Court,Chennai | Madurai,,High Court of Judicature at Madras,MHC
en-US,Indian Court,,High Court,Imphal,,High Court of Manipur,
en-US,Indian Court,,High Court,Shillong,,High Court of Meghalaya,
en-US,Indian Court,,High Court,Cuttack,,High Court of Orissa,
en-US,Indian Court,,High Court,Patna,,High Court of Judicature at Patna,
en-US,Indian Court,,High Court,Chandigarh,,High Court of Punjab & Haryana,
en-US,Indian Court,,High Court,Jaipur | Jodhpur,,Rajasthan High Court,RJJD | RJJP
en-US,Indian Court,,High Court,Gangtok,,High Court of Sikkim,
en-US,Indian Court,,High Court,Hyderabad,,High Court for the State of Telangana,
en-US,Indian Court,,High Court,Agartala,,High Court of Tripura,
en-US,Indian Court,,High Court,Nainital,,High Court of Uttarakhand,
en-US,Indian Court,,Tribunals,Delhi,,Appellate Tribunal for Electricity,
en-US,Indian Court,,Tribunals,Delhi,,Appellate Tribunal for Forfeited Property ,
en-US,Indian Court,,Tribunals,Delhi,,Central Administrative Tribunal,
en-US,Indian Court,,Tribunals,Delhi,,Income Tax Appellate Tribunal,
en-US,Indian Court,,Tribunals,Branches in most states,,Industrial Tribunal,
en-US,Indian Court,,Tribunals,Branches in most states,,Customs Excise And Service Tax Appellate Tribunal,
en-US,Indian Court,,Tribunals,All states,,Debt Recovery Tribunal,
en-US,Indian Court,,Tribunals,"Delhi, Pune",,National Green Tribunal,
en-US,Indian Court,,Tribunals,"Delhi, Chennai",,National Company Law Appellate Tribunal,
en-US,Indian Court,,Tribunals,Branches in most states,,National Company Law Tribunal,
en-US,Indian Court,,Tribunals,Mumbai,,Securities Appellate Tribunal,
en-US,Indian Court,,Tribunals,Delhi,,Telecom Disputes Settlement and Appellate Tribunal,
en-US,Indian Court,,Tribunals,Chennai,,Intellectual Property Appellate Board,
en-US,Indian Court,,Tribunals,Delhi,,National Consumer Disputes Redressal Commission,
en-US,Indian Court,,Tribunals,All states,,State Consumer Disputes Redressal Commission,
en-US,Indian Court,,Tribunals,Mumbai,,Securities and Exchange Board of India,
