Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,US Courts,1,Supreme Court,Federal,Court of Last Resort,United States Supreme Court,Supreme Court; SCOTUS
en-US,US Courts,2,Federal,Federal,Appellate Court,First Circuit,1st Circuit; 1st Cir.; First Cir.
en-US,US Courts,3,Federal,Federal,Appellate Court,Second Circuit,2nd Circuit; 2nd Cir.; Second Cir.
en-US,US Courts,4,Federal,Federal,Appellate Court,Third Circuit,3rd Circuit; 3rd Cir.; Third Cir.
en-US,US Courts,5,Federal,Federal,Appellate Court,Fourth Circuit,4th Circuit; 4th Cir.; Fourth Cir.
en-US,US Courts,6,Federal,Federal,Appellate Court,Fifth Circuit,5th Circuit; 5th Cir.; Fifth Cir.
en-US,US Courts,7,Federal,Federal,Appellate Court,Sixth Circuit,6th Circuit; 6th Cir.; Sixth Cir.
en-US,US Courts,8,Federal,Federal,Appellate Court,Seventh Circuit,7th Circuit; 7th Cir.; Seventh Cir.
en-US,US Courts,9,Federal,Federal,Appellate Court,Eighth Circuit,8th Circuit; 8th Cir.; Eighth Cir.
en-US,US Courts,10,Federal,Federal,Appellate Court,Ninth Circuit,9th Circuit; 9th Cir.; Ninth Cir.
en-US,US Courts,11,Federal,Federal,Appellate Court,Tenth Circuit,10th Circuit; 10th Cir.; Tenth Cir.
en-US,US Courts,12,Federal,Federal,Appellate Court,Eleventh Circuit,11th Circuit; 11th Cir.; Eleventh Cir.
en-US,US Courts,13,Federal,Federal,Appellate Court,D.C. Circuit,D.C. Cir.
en-US,US Courts,14,Federal,Federal,Appellate Court,Federal Circuit,Fed. Cir.
en-US,US Courts,15,Federal,Alabama,Federal District Court,Middle District of Alabama,M.D. Ala.
en-US,US Courts,16,Federal,Alabama,Federal District Court,Northern District of Alabama,N.D. Ala.
en-US,US Courts,17,Federal,Alabama,Federal District Court,Southern District of Alabama,S.D. Ala.
en-US,US Courts,18,Federal,Alaska,Federal District Court,District of Alaska,D. Alaska
en-US,US Courts,19,Federal,Arizona,Federal District Court,District of Arizona,D. Ariz.
en-US,US Courts,20,Federal,Arkansas,Federal District Court,Eastern District of Arkansas,E.D. Ark.
en-US,US Courts,21,Federal,Arkansas,Federal District Court,Western District of Arkansas,W.D. Ark.
en-US,US Courts,22,Federal,California,Federal District Court,Central District of California,C.D. Cal.
en-US,US Courts,23,Federal,California,Federal District Court,Eastern District of California,E.D. Cal.
en-US,US Courts,24,Federal,California,Federal District Court,Northern District of California,N.D. Cal.
en-US,US Courts,25,Federal,California,Federal District Court,Southern District of California,S.D. Cal.
en-US,US Courts,26,Federal,,Federal District Court,District of the Canal Zone,D.C.Z.
en-US,US Courts,27,Federal,Colorado,Federal District Court,District of Colorado,D. Colo.
en-US,US Courts,28,Federal,Connecticut,Federal District Court,District of Connecticut,D. Conn.
en-US,US Courts,29,Federal,Delaware,Federal District Court,District of Delaware,D. Del.
en-US,US Courts,30,Federal,Washington D.C.,Federal District Court,District of D.C.,D.D.C.
en-US,US Courts,31,Federal,Florida,Federal District Court,Middle District of Florida,M.D. Fla.
en-US,US Courts,32,Federal,Florida,Federal District Court,Northern District of Florida,N.D. Fla.
en-US,US Courts,33,Federal,Florida,Federal District Court,Southern District of Florida,S.D. Fla.
en-US,US Courts,34,Federal,Georgia,Federal District Court,Middle District of Georgia,M.D. Ga.
en-US,US Courts,35,Federal,Georgia,Federal District Court,Northern District of Georgia,N.D. Ga.
en-US,US Courts,36,Federal,Georgia,Federal District Court,Southern District of Georgia,S.D. Ga.
en-US,US Courts,37,Federal,Guam,Federal District Court,District of Guam,D. Guam
en-US,US Courts,38,Federal,Hawaii,Federal District Court,District of Hawaii,D. Haw.
