Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,US State Courts,1,Court of first instance,Alabama,Circuit Court,1st Circuit,First Circuit
en-US,US State Courts,2,Court of first instance,Alabama,Circuit Court,2nd Circuit,Second Circuit
en-US,US State Courts,3,Court of first instance,Alabama,Circuit Court,3rd Circuit,Third Circuit
en-US,US State Courts,4,Court of first instance,Alabama,Circuit Court,4th Circuit,Fourth Circuit
en-US,US State Courts,5,Court of first instance,Alabama,Circuit Court,5th Circuit,Fifth Circuit
en-US,US State Courts,6,Court of first instance,Alabama,Circuit Court,6th Circuit,Sixth Circuit
en-US,US State Courts,7,Court of first instance,Alabama,Circuit Court,7th Circuit,Seventh Circuit
en-US,US State Courts,8,Court of first instance,Alabama,Circuit Court,8th Circuit,Eighth Circuit
en-US,US State Courts,9,Court of first instance,Alabama,Circuit Court,9th Circuit,Ninth Circuit
en-US,US State Courts,10,Court of first instance,Alabama,Circuit Court,10th Circuit,Tenth Circuit
en-US,US State Courts,11,Court of first instance,Alabama,Circuit Court,11th Circuit,Eleventh Circuit
en-US,US State Courts,12,Court of first instance,Alabama,Circuit Court,12th Circuit,Twelfth Circuit
en-US,US State Courts,13,Court of first instance,Alabama,Circuit Court,13th Circuit,Thirteenth Circuit
en-US,US State Courts,14,Court of first instance,Alabama,Circuit Court,14th Circuit,Fourteenth Circuit
en-US,US State Courts,15,Court of first instance,Alabama,Circuit Court,15th Circuit,Fifteenth Circuit
en-US,US State Courts,16,Court of first instance,Alabama,Circuit Court,16th Circuit,Sixteenth Circuit
en-US,US State Courts,17,Court of first instance,Alabama,Circuit Court,17th Circuit,Seventeenth Circuit
en-US,US State Courts,18,Court of first instance,Alabama,Circuit Court,18th Circuit,Eighteenth Circuit
en-US,US State Courts,19,Court of first instance,Alabama,Circuit Court,19th Circuit,Nineteenth Circuit
en-US,US State Courts,20,Court of first instance,Alabama,Circuit Court,20th Circuit,Twentieth Circuit
en-US,US State Courts,21,Court of first instance,Alabama,Circuit Court,21st Circut,Twenty-first Circuit
en-US,US State Courts,22,Court of first instance,Alabama,Circuit Court,22nd Circuit,Twenty-second Circuit
en-US,US State Courts,23,Court of first instance,Alabama,Circuit Court,23rd Circuit,Twenty-third Circuit
en-US,US State Courts,24,Court of first instance,Alabama,Circuit Court,24th Circuit,Twenty-fourth Circuit
en-US,US State Courts,25,Court of first instance,Alabama,Circuit Court,25th Circuit,Twenty-fifth Circuit
en-US,US State Courts,26,Court of first instance,Alabama,Circuit Court,26th Circuit,Twenty-sixth Circuit
en-US,US State Courts,27,Court of first instance,Alabama,Circuit Court,27th Circuit,Twenty-seventh Circuit
en-US,US State Courts,28,Court of first instance,Alabama,Circuit Court,28th Circuit,Twenty-eighth Circuit
en-US,US State Courts,29,Court of first instance,Alabama,Circuit Court,29th Circuit,Twenty-ninth Circuit
en-US,US State Courts,30,Court of first instance,Alabama,Circuit Court,30th Circuit,Thirtieth Circuit
en-US,US State Courts,31,Court of first instance,Alabama,Circuit Court,31st Circuit,Thirty-first Circuit
en-US,US State Courts,32,Court of first instance,Alabama,Circuit Court,32nd Circuit,Thirty-second Circuit
en-US,US State Courts,33,Court of first instance,Alabama,Circuit Court,33rd Circuit,Thirty-third Circuit
en-US,US State Courts,34,Court of first instance,Alabama,Circuit Court,34th Circuit,Thirty-fourth Circuit
en-US,US State Courts,35,Court of first instance,Alabama,Circuit Court,35th Circuit,Thirty-fifth Circuit
en-US,US State Courts,36,Court of first instance,Alabama,Circuit Court,36th Circuit,Thirty-sixth Circuit
en-US,US State Courts,37,Court of first instance,Alabama,Circuit Court,37th Circuit,Thirty-seventh Circuit
en-US,US State Courts,38,Court of first instance,Alabama,Circuit Court,38th Circuit,Thirty-eighth Circuit
en-US,US State Courts,39,Court of first instance,Alabama,Circuit Court,39th Circuit,Thirty-ninth Circuit
en-US,US State Courts,40,Court of first instance,Alabama,Circuit Court,40th Circuit,Fortieth Circuit
en-US,US State Courts,41,Court of first instance,Alabama,Circuit Court,41st Circuit,Forty-first Circuit
en-US,US State Courts,42,Intermediate appellate court,Alabama,Appellate Court,Alabama Court of Civil Appeals,Alabama Court of Civil Appeals
