Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
es-ES,Spanish Courts,1,Tribunal Superior,Andalucía,Tribunal Superior,Tribunal Superior de Justicia de Andalucía,
es-ES,Spanish Courts,2,Tribunal Superior,Aragón,Tribunal Superior,Tribunal Superior de Justicia de Aragón,
es-ES,Spanish Courts,3,Tribunal Superior,Canarias,Tribunal Superior,Tribunal Superior de Justicia de Canarias,
es-ES,Spanish Courts,4,Tribunal Superior,Cantabria,Tribunal Superior,Tribunal Superior de Justicia de Cantabria,
es-ES,Spanish Courts,5,Tribunal Superior,Castilla y León,Tribunal Superior,Tribunal Superior de Justicia de Castilla y León,
es-ES,Spanish Courts,6,Tribunal Superior,Castilla-La Mancha,Tribunal Superior,Tribunal Superior de Justicia de Castilla-La Mancha,
es-ES,Spanish Courts,7,Tribunal Superior,Cataluña,Tribunal Superior,Tribunal Superior de Justicia de Cataluña,
es-ES,Spanish Courts,8,Tribunal Superior,Comunidad de Madrid,Tribunal Superior,Tribunal Superior de Justicia de Madrid,
es-ES,Spanish Courts,9,Tribunal Superior,Comunidad Valenciana,Tribunal Superior,Tribunal Superior de Justicia de la Comunidad Valenciana,
es-ES,Spanish Courts,10,Tribunal Superior,Extremadura,Tribunal Superior,Tribunal Superior de Justicia de Extremadura,
es-ES,Spanish Courts,11,Tribunal Superior,Galicia,Tribunal Superior,Tribunal Superior de Justicia de Galicia,
es-ES,Spanish Courts,12,Tribunal Superior,Islas Baleares,Tribunal Superior,Tribunal Superior de Justicia de las Islas Baleares,
es-ES,Spanish Courts,13,Tribunal Superior,La Rioja,Tribunal Superior,Tribunal Superior de Justicia de La Rioja,
es-ES,Spanish Courts,14,Tribunal Superior,Navarra,Tribunal Superior,Tribunal Superior de Justicia de Navarra,
es-ES,Spanish Courts,15,Tribunal Superior,País Vasco,Tribunal Superior,Tribunal Superior de Justicia del País Vasco,
es-ES,Spanish Courts,16,Tribunal Superior,Principado de Asturias,Tribunal Superior,Tribunal Superior de Justicia del Principado de Asturias,
es-ES,Spanish Courts,17,Tribunal Superior,Región de Murcia,Tribunal Superior,Tribunal Superior de Justicia de la Región de Murcia,
